"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","ipaddr","code","kind","sex","age","education","live_SQ001","live_SQ002","live_SQ003","live_SQ004","live_SQ005","live_SQ006","live_SQ007","live_SQ008","live_SQ009","live_SQ010","live_other","kids","nkids","econsit","needs_housing","needs_basic","needs_entertainment","needs_cultural","needs_education","importance_proffesional","importance_scientific","importance_workstab","importance_helping","importance_wealth","importance_socprestige","importance_identifiability","frequency_excursion","frequency_cinema","frequency_theater","frequency_tavern","frequency_friends","frequency_culturalevent","frequency_museum","frequency_library","Q1","Q2","Q3","Q4","Q5","Q6","c01","c02","c03","c04","c05","c06","c07","c08","c09","c10","c11","G3Q00001","experience","time","EI_EM01","EI_EM02","EI_EE03","EI_SC04","EI_WB05","EI_SO06","EI_SC07","EI_EM08","EI_WB09","EI_SO10","EI_SO11","EI_WB12","EI_EM13","EI_EE14","EI_SC15","EI_EM16","EI_EM17","EI_EE18","EI_SC19","EI_WB20","EI_SO21","EI_SC22","EI_EM23","EI_WB24","EI_SO25","EI_SO26","EI_WB27","EI_EM28","EI_EE29","EI_SC30","Burnout_EE1","Burnout_EE2","Burnout_EE3","Burnout_PA4","Burnout_CY5","Burnout_EE6","Burnout_PA7","Burnout_EE8","Burnout_PA9","Burnout_CY10","Burnout_CY11","Burnout_PA12","Burnout_EE13","Burnout_EE14","Burnout_CY15","Burnout_EE16","Burnout_PA17","Burnout_PA18","Burnout_PA19","Burnout_EE20","Burnout_PA21","Burnout_CY22","Satisfaction_intrinsic01","Satisfaction_intrinsic02","Satisfaction_intrinsic03","Satisfaction_intrinsic04","Satisfaction_extrinsic05","Satisfaction_extrinsic06","Satisfaction_intrinsic07","Satisfaction_intrinsic08","Satisfaction_intrinsic09","Satisfaction_intrinsic10","Satisfaction_intrinsic11","Satisfaction_extrinsic12","Satisfaction_extrinsic13","Satisfaction_extrinsic14","Satisfaction_intrinsic15","Satisfaction_intrinsic16","Satisfaction_general17","Satisfaction_general18","Satisfaction_extrinsic19","Satisfaction_intrinsic20","engagement_VI1","engagement_DE1","engagement_AB1","engagement_VI2","engagement_DE2","engagement_AB2","engagement_DE3","engagement_VI3","engagement_AB3","engagement_DE4","engagement_AB4","engagement_VI4","engagement_DE5","engagement_AB5","engagement_VI5","engagement_AB6","engagement_VI6","X157","soclass","burnout.EE.sc","burnout.PA.sc","burnout.CY.sc","burnout.sc","burnout.EE.sc.irt","burnout.PA.sc.irt","burnout.CY.sc.irt","burnout.score","burnout.F1.score","burnout.F2.score","burnout.F3.score","burnout.F4.score","EI.sc","EI.wellbeing.sc","EI.selfcontrol.sc","EI.emotionality.sc","EI.sociability.sc","EI.wellbeing.sc.irt","EI.selfcontrol.sc.irt","EI.emotionality.sc.irt","EI.sociability.sc.irt","ei.score","ei.F1.score","ei.F2.score","ei.F3.score","ei.F4.score","ei.F5.score","satisfaction.sc","satisfaction.intrinsic.sc","satisfaction.extrinsic.sc","satisfaction.general.sc","satisfaction.intrinsic.sc.irt","satisfaction.extrinsic.sc.irt","satisfaction.general.sc.irt","satisfaction.score","satisfaction.F1.score","satisfaction.F2.score","satisfaction.F3.score","engagement.sc","engagement.vigor.sc","engagement.dedication.sc","engagement.absorption.sc","engagement.score","engagement.F1.score","engagement.F2.score","engagement.F3.score","engagement.vigor.sc.irt","engagement.dedication.sc.irt","engagement.absorption.sc.irt"
1,2019-11-24 10:28:03,36,"el","{question_not_shown}",2019-11-24 10:14:11,2019-11-24 10:28:03,"2.84.242.156",708907,"{question_not_shown}","M","50-54","A9","Y",NA,"Y","Y",NA,NA,NA,NA,NA,NA,NA,"Y","A3",4,4,4,3,2,5,4,5,5,5,1,4,2,2,1,2,3,3,1,2,2,"A1","A2","A1","A3","Y","A4","{question_not_shown}","{question_not_shown}","{question_not_shown}","{question_not_shown}","Νέα Μικροαστική Τάξη","{question_not_shown}","{question_not_shown}","{question_not_shown}","{question_not_shown}","{question_not_shown}","{question_not_shown}","A16","A6","A3","SQ006","SQ002","SQ007","SQ002","SQ001","SQ005","SQ001","SQ001","SQ007","SQ003","SQ005","SQ001","SQ005","SQ001","SQ007","SQ001","SQ006","SQ001","SQ007","SQ007","SQ005","SQ002","SQ001","SQ007","SQ003","SQ002","SQ007","SQ002","SQ007","SQ005","SQ007","SQ007","SQ007","SQ006","SQ001","SQ002","SQ006","SQ007","SQ005","SQ007","SQ007","SQ006","SQ007","SQ003","SQ007","SQ001","SQ005","SQ006","SQ005","SQ007","SQ005","SQ001","A1","A1","A1","A1","A2","A2","A1","A1","A1","A1","A2","A3","A4","A1","A1","A1","A1","A4","A1","A1","A7","A7","A6","A7","A6","A5","A7","A7","A6","A7","A4","A7","A6","A7","A7","A5","A7",NA,"05.Νέα Μικροαστική Τάξη",4.33333333333333,4.5,3.6,3.13636363636364,0.834896556911181,0.164216903845073,0.539830346313635,0.886032060910083,0.83578309615587,0.834793569761826,0.896995291640613,0.539830346313785,6.03333333333333,7,6.33333333333333,5.25,5.16666666666667,0.863816689141179,0.813239034945322,0.607692816686532,0.593162151299497,0.705106964612467,0.859536878693725,0.890176512362281,0.697911387490401,0.625450866079067,0.758571869662236,109,5.91666666666667,4.83333333333333,4.5,0.804617008438834,0.624034496446566,0.328740914568092,0.750604544828544,0.845142342165101,0.459254698566464,0.790209815600636,91,6,5.6,4.5,0.935279966140894,0.981045403841551,0.760512122343398,0.535959592012706,0.974920469371357,0.951281196072079,0.732959107610601
8,2019-11-24 11:46:09,4,"el","2018513447",2019-11-24 11:33:37,2019-11-24 11:46:09,"5.55.189.44",166673,"A2","F","20-24","A7",NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,"N","{question_not_shown}",3,3,5,3,3,4,5,4,4,5,2,2,3,2,2,2,3,3,3,2,1,"A1","A5","A7","A3","Y","A3","{question_not_shown}","{question_not_shown}","{question_not_shown}","{question_not_shown}","Νέα Μικροαστική Τάξη","{question_not_shown}","{question_not_shown}","{question_not_shown}","{question_not_shown}","{question_not_shown}","{question_not_shown}","A9","A1","A3","SQ003","SQ004","SQ007","SQ006","SQ003","SQ003","SQ007","SQ006","SQ005","SQ004","SQ005","SQ001","SQ002","SQ003","SQ001","SQ002","SQ006","SQ003","SQ004","SQ004","SQ003","SQ003","SQ003","SQ003","SQ003","SQ003","SQ006","SQ006","SQ007","SQ006","SQ001","SQ001","SQ001","SQ006","SQ005","SQ004","SQ005","SQ001","SQ005","SQ001","SQ001","SQ005","SQ007","SQ001","SQ007","SQ005","SQ006","SQ006","SQ006","SQ007","SQ005","SQ007","A4","A1","A1","A1","A1","A4","A1","A2","A1","A1","A1","A3","A3","A1","A1","A1","A2","A3","A1","A1","A6","A4","A7","A6","A6","A7","A7","A6","A7","A7","A6","A7","A7","A6","A2","A6","A7",NA,"05.Νέα Μικροαστική Τάξη",2.11111111111111,4.5,3.2,2.13636363636364,0.363503647746753,0.166239926963317,0.425237173291265,0.502785847226677,0.833760073037499,0.123880961274356,0.64268073048426,0.425237173291284,4.33333333333333,5,3.16666666666667,4,4.16666666666667,0.330002092192199,0.141501830615982,0.24124472122364,0.32182555995171,0.306523496745989,0.323308889460916,0.280808907409949,0.404994690892442,0.26822959705037,0.524811953455384,106,5.66666666666667,4.83333333333333,4.5,0.789940636792182,0.622153041613285,0.328740914568168,0.737769374699916,0.864471049094704,0.436875551858517,0.108145797186197,87,4.66666666666667,5.2,5.5,0.892580058683886,0.920982763386466,0.498775841288949,0.913191543198832,0.784561795394028,0.898291049878007,0.893337031595213
12,2019-11-24 12:37:08,4,"el","1415641626",2019-11-24 12:20:29,2019-11-24 12:37:08,"176.92.55.2",5341,"A2","F","35-39","A4","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","{question_not_shown}",4,5,5,4,4,4,3,3,5,3,5,3,2,2,2,2,2,3,3,2,2,"A1","A3","A7","A1","Y","A3","{question_not_shown}","{question_not_shown}","{question_not_shown}","{question_not_shown}","{question_not_shown}","{question_not_shown}","{question_not_shown}","{question_not_shown}","Μεσαία αστική τάξη ή Καπιταλιστική τάξη","{question_not_shown}","{question_not_shown}","A17","A3","A2","SQ007","SQ005","SQ007","SQ001","SQ001","SQ007","SQ003","SQ001","SQ007","SQ007","SQ007","SQ001","SQ005","SQ001","SQ003","SQ006","SQ007","SQ002","SQ007","SQ006","SQ007","SQ004","SQ001","SQ007","SQ001","SQ001","SQ007","SQ006","SQ007","SQ007","SQ001","SQ007","SQ001","SQ006","SQ001","SQ002","SQ006","SQ001","SQ006","SQ001","SQ003","SQ005","SQ001","SQ005","SQ005","SQ007","SQ006","SQ002","SQ006","SQ007","SQ005","SQ007","A2","A1","A2","A1","A1","A1","A3","A2","A3","A1","A1","A1","A1","A1","A1","A1","A2","A3","A2","A1","A4","A7","A5","A4","A4","A4","A5","A5","A4","A6","A6","A7","A3","A4","A7","A6","A7",NA,"09.Μεσαία αστική τάξη ή Καπιταλιστική τάξη",2.55555555555556,4.25,2.4,2.22727272727273,0.456614851586308,0.203882032054605,0.283693579108498,0.458083652914415,0.796117967946026,0.400295172732295,0.361140520942685,0.2836935791085,5.63333333333333,6.83333333333333,5.5,4,6,0.835130400874797,0.692737004684963,0.188004840118338,0.794135772322965,0.613431332187045,0.760786602508415,0.83492308362332,0.908222811286791,0.15161714241445,0.524811953455245,109,5.41666666666667,5.83333333333333,4.5,0.706848621300017,0.904473929353517,0.328740914568168,0.735583104622959,0.751349828674569,0.873216740916272,0.451282807812599,71,4.66666666666667,4,3.83333333333333,0.54725467634043,0.373946896236361,0.715011201962007,0.774944325199831,0.657175253890559,0.508743099161552,0.534035105866067
16,2019-11-24 13:03:42,4,"el","338684494",2019-11-24 12:47:11,2019-11-24 13:03:42,"62.74.7.100",5341,"A2","F","25-29","A7",NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,"N","{question_not_shown}",4,4,4,3,3,4,5,5,5,5,3,4,3,2,3,1,4,2,1,1,2,"A1","A2","A1","A3","N","A5","{question_not_shown}","{question_not_shown}","{question_not_shown}","{question_not_shown}","Νέα Μικροαστική Τάξη","{question_not_shown}","{question_not_shown}","{question_not_shown}","{question_not_shown}","{question_not_shown}","{question_not_shown}","A19","A1","A3","SQ006","SQ003","SQ006","SQ006","SQ002","SQ005","SQ004","SQ002","SQ002","SQ005","SQ002","SQ006","SQ005","SQ002","SQ005","SQ003","SQ006","SQ005","SQ001","SQ006","SQ006","SQ006","SQ006","SQ006","SQ003","SQ006","SQ003","SQ002","SQ006","SQ002","SQ006","SQ006","SQ003","SQ006","SQ003","SQ006","SQ005","SQ002","SQ005","SQ005","SQ006","SQ004","SQ003","SQ005","SQ007","SQ002","SQ005","SQ006","SQ005","SQ003","SQ004","SQ004","A1","A3","A2","A2","A3","A1","A3","A1","A2","A4","A3","A3","A5","A4","A3","A4","A2","A2","A5","A4","A4","A6","A7","A5","A5","A5","A5","A6","A3","A6","A4","A5","A7","A4","A6","A2","A5",NA,"05.Νέα Μικροαστική Τάξη",3,4,4,2.86363636363636,0.598860279845279,0.258198316856109,0.577179894183876,0.695047431013393,0.741801683145087,0.620393703131889,0.576615004269051,0.577179894183953,4.26666666666667,4.16666666666667,2.66666666666667,5.375,3.83333333333333,0.233714176193622,0.0896673657191455,0.451275805748812,0.253048408067396,0.280600513007976,0.319485527830152,0.206954628269024,0.316977441095313,0.297118046881715,0.647966849064537,83,4.33333333333333,3.5,5,0.16067870706335,0.159697943119271,0.516805397920744,0.147280925107495,0.0568307758703203,0.414650865681993,0.790209815600636,68,4.16666666666667,4.8,3.16666666666667,0.551247373462556,0.604488097563594,0.526233413279137,0.259185979118074,0.516116877582495,0.747212951971301,0.327646819053321
23,2019-11-24 13:53:40,4,"el","1021556558",2019-11-24 13:34:57,2019-11-24 13:53:40,"141.237.18.162",1065967,"A2","M","20-24","A5",NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,"N","{question_not_shown}",3,5,5,4,4,3,4,3,5,3,4,3,3,2,2,1,3,4,1,2,2,"A1","A5","A7","A3","N","A2","{question_not_shown}","{question_not_shown}","Νόθα εργατική τάξη","{question_not_shown}","{question_not_shown}","{question_not_shown}","{question_not_shown}","{question_not_shown}","{question_not_shown}","{question_not_shown}","{question_not_shown}","A19","A1","A3","SQ003","SQ003","SQ004","SQ005","SQ002","SQ003","SQ003","SQ005","SQ004","SQ005","SQ003","SQ003","SQ003","SQ003","SQ003","SQ003","SQ002","SQ004","SQ003","SQ005","SQ004","SQ005","SQ003","SQ004","SQ002","SQ003","SQ005","SQ003","SQ006","SQ003","SQ004","SQ004","SQ003","SQ001","SQ005","SQ004","SQ002","SQ002","SQ001","SQ004","SQ004","SQ002","SQ004","SQ003","SQ006","SQ003","SQ001","SQ001","SQ001","SQ003","SQ001","SQ001","A3","A3","A4","A4","A4","A3","A4","A3","A4","A5","A3","A3","A5","A4","A4","A4","A2","A3","A2","A4","A2","A2","A3","A1","A2","A3","A2","A2","A4","A4","A2","A3","A5","A2","A4","A2","A2",NA,"03.Νόθα εργατική τάξη",2.33333333333333,0.25,3,3.72727272727273,0.47050540852533,0.962606988091085,0.449503032092006,0.0832477975682715,0.0373930119090973,0.381816713208732,0.501639003167576,0.449503032092092,4.1,4.83333333333333,3.33333333333333,3.875,4,0.330504372598122,0.180319033741286,0.264959119042445,0.257532071129837,0.256261815385185,0.279085346781554,0.403049904102694,0.218929848304203,0.302691740829746,0.190025446382058,69,3.25,3.5,4.5,0.00897744388835629,0.137392281822867,0.328740914568168,0.0338729267528364,0.0135904911001736,0.153984017554308,0.108145797186213,28,1.33333333333333,2,1.66666666666667,0.0173899943501181,0.00525306102789399,0.0319298000354028,0.0520634014654383,0.00779074389984454,0.0147577014643019,0.0682094729450081
24,2019-11-24 15:14:34,4,"el","1797480388",2019-11-24 14:46:10,2019-11-24 15:14:34,"79.166.65.131",166673,"A2","F","20-24","A6",NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,"N","{question_not_shown}",3,4,4,4,4,4,5,2,4,5,3,3,3,2,2,2,4,3,2,2,1,"A1","A4","A7","A3",NA,"A2","{question_not_shown}","{question_not_shown}","Νόθα εργατική τάξη","{question_not_shown}","{question_not_shown}","{question_not_shown}","{question_not_shown}","{question_not_shown}","{question_not_shown}","{question_not_shown}","{question_not_shown}","A9","A1","A2","SQ002","SQ002","SQ004","SQ003","SQ002","SQ005","SQ002","SQ002","SQ006","SQ006","SQ005","SQ003","SQ001","SQ004","SQ005","SQ003","SQ005","SQ004","SQ006","SQ006","SQ006","SQ004","SQ003","SQ006","SQ006","SQ003","SQ006","SQ002","SQ004","SQ005","SQ002","SQ005","SQ005","SQ002","SQ005","SQ006","SQ003","SQ004","SQ005","SQ003","SQ005","SQ005","SQ002","SQ004","SQ003","SQ002","SQ004","SQ003","SQ004","SQ003","SQ004","SQ007","A2","A2","A3","A2","A1","A2","A2","A2","A2","A3","A1","A2","A3","A2","A2","A2","A2","A1","A2","A3","A5","A5","A7","A5","A6","A4","A5","A3","A5","A6","A2","A6","A6","A6","A4","A3","A5",NA,"03.Νόθα εργατική τάξη",2.66666666666667,2.75,3.6,3.09090909090909,0.555253536438925,0.599675653956644,0.470657506454848,0.35477850095425,0.400324346044435,0.712185557098816,0.292006324703193,0.470657506454661,4.9,5.83333333333333,5.16666666666667,5,4.16666666666667,0.636021104558303,0.611911108359505,0.519046574287553,0.411461589144781,0.448131359643781,0.508278230052884,0.633201173804972,0.49455263833036,0.491650920105452,0.647966849064917,99,4.83333333333333,5,5.5,0.460591793385832,0.710833583056019,0.693318022740867,0.535164476576611,0.473830765391491,0.783156140301854,0.451282807812599,66,3.66666666666667,4.6,3.5,0.561911488585828,0.657707948369785,0.439634927909413,0.110399218810724,0.39044291609929,0.703270957761318,0.43166216765732
26,2019-11-24 15:46:17,4,"el","701424479",2019-11-24 15:34:34,2019-11-24 15:46:17,"94.66.220.148",166673,"A2","M","25-29","A8",NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,"N","{question_not_shown}",4,4,5,4,4,4,5,5,4,4,4,4,2,2,3,2,3,4,2,2,2,"A1","A2","A7","A2","N","A1","{question_not_shown}","{question_not_shown}","{question_not_shown}","{question_not_shown}","{question_not_shown}","Παραδοσιακή Μικροαστική Τάξη","{question_not_shown}","{question_not_shown}","{question_not_shown}","{question_not_shown}","{question_not_shown}","A16","A2","A2","SQ003","SQ005","SQ004","SQ005","SQ002","SQ004","SQ002","SQ002","SQ006","SQ001","SQ005","SQ004","SQ002","SQ002","SQ003","SQ003","SQ005","SQ005","SQ003","SQ005","SQ004","SQ002","SQ005","SQ005","SQ002","SQ002","SQ005","SQ001","SQ006","SQ004","SQ005","SQ005","SQ002","SQ005","SQ007","SQ006","SQ003","SQ003","SQ005","SQ002","SQ004","SQ003","SQ003","SQ005","SQ007","SQ004","SQ005","SQ005","SQ003","SQ007","SQ004","SQ001","A2","A2","A2","A2","A3","A3","A3","A3","A2","A2","A3","A3","A3","A4","A3","A1","A3","A3","A3","A2","A5","A5","A5","A6","A4","A6","A4","A4","A4","A6","A5","A4","A3","A4","A5","A5","A4",NA,"06.Παραδοσιακή Μικροαστική Τάξη",3.44444444444444,3.125,3.2,3.18181818181818,0.640704254559037,0.483323738773212,0.487357996684693,0.525090263831831,0.516676261225512,0.580688822358862,0.692162517787626,0.487357996684694,4.9,5.16666666666667,4.16666666666667,5,5.33333333333333,0.408702522673115,0.282266308430131,0.456345712151614,0.594279849315329,0.400809716896178,0.266799649526169,0.556250191039204,0.428279769641215,0.700252345070008,0.28590490188472,88,4.75,3.83333333333333,4,0.398800877398767,0.229564037244617,0.174147536576058,0.298470833291282,0.3361217495988,0.241139373799859,0.248710608841528,62,3.66666666666667,3.4,3.83333333333333,0.392677415939652,0.334719592623292,0.2097246939064,0.73719660239848,0.415422395358479,0.269035369729301,0.519119297842674
27,2019-11-24 16:00:18,4,"el","87528292",2019-11-24 15:49:59,2019-11-24 16:00:18,"176.58.225.145",166673,"A2","M","25-29","A7",NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,"N","{question_not_shown}",3,4,5,4,3,5,4,3,5,2,4,3,3,2,4,1,2,3,2,1,1,"A1","A4","A7","A3","N","A5","{question_not_shown}","{question_not_shown}","{question_not_shown}","Εργατική Τάξη","{question_not_shown}","{question_not_shown}","{question_not_shown}","{question_not_shown}","{question_not_shown}","{question_not_shown}","{question_not_shown}","A19","A1",NA,"SQ003","SQ004","SQ004","SQ004","SQ001","SQ005","SQ004","SQ004","SQ003","SQ006","SQ003","SQ006","SQ001","SQ005","SQ001","SQ004","SQ005","SQ003","SQ004","SQ006","SQ004","SQ005","SQ005","SQ006","SQ004","SQ004","SQ004","SQ002","SQ006","SQ004","SQ007","SQ005","SQ007","SQ003","SQ007","SQ005","SQ006","SQ005","SQ007","SQ007","SQ004","SQ002","SQ007","SQ005","SQ006","SQ007","SQ006","SQ007","SQ002","SQ001","SQ006","SQ005","A2","A2","A2","A2","A2","A1","A3","A3","A2","A3","A1","A2","A2","A3","A2","A1","A1","A3","A3","A2","A2","A5","A6","A5","A3","A5","A5","A7","A5","A5","A4","A6","A5","A2","A5","A5","A5",NA,"04.Εργατική Τάξη",4.44444444444444,3.875,4.8,3.68181818181818,0.823488109932662,0.290511724356588,0.701128920568512,0.905064929721691,0.709488275644049,0.816300412858502,0.722649334648707,0.701128920568527,4.2,4.66666666666667,3.33333333333333,4.75,3.66666666666667,0.352567640346519,0.195995712140241,0.364705954036551,0.242257943197382,0.273954227474673,0.294251284598765,0.309355460995743,0.297149872053455,0.334874455918252,0.40035609447118,98,4.91666666666667,4.83333333333333,5,0.511290409892755,0.645908930487491,0.516805397920744,0.520368707847887,0.481724524531526,0.783032887715502,0.248710608841528,63,4,3.6,3.5,0.344033788475957,0.196869943373573,0.449303715785265,0.535959592012706,0.380409728474099,0.317923130793143,0.378466120409247
31,2019-11-24 17:32:40,4,"el","1519512697",2019-11-24 17:16:12,2019-11-24 17:32:40,"46.190.115.1",166673,"A2","F","20-24","A7",NA,NA,NA,NA,"Y",NA,NA,NA,NA,NA,NA,"N","{question_not_shown}",4,4,4,4,3,4,4,4,4,5,3,4,4,2,2,1,3,4,2,1,1,"A1","A4","A7","A3","N","A2","{question_not_shown}","{question_not_shown}","Νόθα εργατική τάξη","{question_not_shown}","{question_not_shown}","{question_not_shown}","{question_not_shown}","{question_not_shown}","{question_not_shown}","{question_not_shown}","{question_not_shown}","A19","A1","A2","SQ004","SQ003","SQ005","SQ005","SQ005","SQ004","SQ003","SQ005","SQ004","SQ004","SQ004","SQ004","SQ002","SQ004","SQ003","SQ002","SQ006","SQ004","SQ005","SQ005","SQ005","SQ005","SQ005","SQ005","SQ006","SQ002","SQ006","SQ002","SQ003","SQ003","SQ002","SQ005","SQ003","SQ003","SQ007","SQ003","SQ003","SQ005","SQ003","SQ007","SQ007","SQ003","SQ007","SQ005","SQ005","SQ001","SQ005","SQ003","SQ002","SQ004","SQ004","SQ007","A2","A3","A3","A2","A2","A2","A2","A2","A2","A3","A2","A2","A3","A3","A2","A3","A2","A1","A2","A3","A3","A4","A4","A4","A4","A4","A4","A3","A4","A3","A4","A4","A3","A4","A3","A3","A4",NA,"03.Νόθα εργατική τάξη",2.88888888888889,2.25,5.6,3.81818181818182,0.589378044230708,0.709401028512545,0.782056057707979,0.471514733104171,0.290598971488515,0.621231851016168,0.568175343393677,0.782056057707972,4.36666666666667,4.5,3.66666666666667,5.125,4.16666666666667,0.279640419277667,0.279291960803597,0.462718610646113,0.379358457425462,0.306646753998067,0.262577655741523,0.372976745950914,0.252047275662708,0.492193584694818,0.647966849064537,94,4.58333333333333,4.66666666666667,5.5,0.328105057704139,0.577729896832534,0.693318022740867,0.41021329174335,0.310891391936378,0.710844156266002,0.451282807812599,45,2.5,2.6,2.83333333333333,0.121206337144527,0.0865531456719635,0.0867112479909779,0.26688046873738,0.0760347481505184,0.0787081657247774,0.26094591888074
30,2019-11-24 17:04:31,4,"el","725210225",2019-11-24 16:49:15,2019-11-24 17:04:31,"2.84.255.218",1066083,"A2","F","40-44","A7","Y",NA,"Y",NA,NA,NA,NA,NA,NA,NA,NA,"Y","A4",3,4,4,3,3,4,5,5,5,5,3,5,4,2,2,1,3,3,2,2,2,"A1","A5","A1","A3","N","A5","Κατώτερη μισθωτή βαθμίδα","{question_not_shown}","{question_not_shown}","{question_not_shown}","{question_not_shown}","{question_not_shown}","{question_not_shown}","{question_not_shown}","{question_not_shown}","{question_not_shown}","{question_not_shown}","A19","A3","A2","SQ005","SQ005","SQ007","SQ006","SQ003","SQ004","SQ004","SQ006","SQ007","SQ003","SQ005","SQ007","SQ005","SQ006","SQ003","SQ007","SQ007","SQ005","SQ003","SQ006","SQ007","SQ007","SQ005","SQ006","SQ007","SQ003","SQ005","SQ003","SQ007","SQ005","SQ004","SQ003","SQ002","SQ001","SQ001","SQ004","SQ003","SQ002","SQ004","SQ001","SQ002","SQ003","SQ002","SQ004","SQ001","SQ003","SQ003","SQ001","SQ002","SQ004","SQ003","SQ002","A5","A5","A4","A4","A3","A3","A2","A3","A2","A3","A4","A2","A4","A3","A3","A4","A2","A1","A3","A3","A2","A2","A5","A4","A4","A5","A3","A4","A2","A5","A3","A3","A3","A2","A3","A1","A4",NA,"01.Κατώτερη μισθωτή βαθμίδα",2.11111111111111,1.5,0.4,2.59090909090909,0.424716333604566,0.849895493356593,0.0931949287397759,0.0669314097130283,0.150104506643884,0.330106361910437,0.45225396365264,0.0931949287397772,4.16666666666667,5,3,3.875,4.5,0.391059604983179,0.133969733346346,0.116923146521694,0.492442027494764,0.284255340857854,0.314413585343149,0.125555501874221,0.707085906139499,0.131003022690306,0.524811953455245,77,3.5,4,5.5,0.0303261245842172,0.304843196357957,0.693318022740867,0.0948590771301806,0.044747543476337,0.48870659372581,0.0130818944622596,38,2.33333333333333,2.4,2,0.0574380668611183,0.0351194303805016,0.0878540583117115,0.119188132739434,0.0508594205071438,0.051405294958996,0.0971666241056099
